Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Ayo Dosunmu,13.0,3.7,2.2,0.2,0.5,0.567,0.5,1.5,1.5,6,27.4,0.2,4.2,7.0,2.3
Gary Payton II,13.0,6.5,1.8,0.3,1.7,0.561,0.692,0.8,0.7,6,23.3,1.5,4.5,4.0,2.5
Ziaire Williams,13.0,2.2,1.6,0.0,1.6,0.526,0.933,2.2,1.0,5,23.1,2.8,1.8,7.0,2.4
Aaron Gordon,13.0,5.4,2.2,0.6,0.4,0.417,0.762,1.8,1.2,5,25.2,3.2,2.2,4.7,0.8
Cedric Coward,13.0,6.5,2.5,0.8,0.5,0.452,0.7,1.8,2.5,4,23.5,1.8,3.0,5.3,3.0
Day'Ron Sharpe,13.0,5.7,2.3,0.3,1.3,0.63,0.75,0.7,2.3,3,18.9,1.0,5.0,2.8,3.0
Jay Huff,12.9,4.0,1.1,1.9,0.5,0.438,0.818,2.0,1.0,8,22.9,1.1,2.9,5.5,1.8
Christian Braun,12.9,5.3,3.1,0.1,0.9,0.516,0.7,1.4,0.7,7,33.2,2.0,3.3,16.0,2.0
P.J. Washington Jr.,12.7,7.3,1.7,0.6,1.4,0.421,0.706,1.9,0.7,7,30.6,1.7,2.7,5.5,1.4
Leaky Black,12.7,3.7,2.0,0.0,0.7,0.464,1.0,2.7,1.3,3,32.8,1.3,1.7,3.3,3.3
Tobias Harris,12.6,4.6,2.0,0.7,0.3,0.508,1.0,1.0,1.0,7,27.5,2.1,3.7,8.0,2.1
Khris Middleton,12.3,2.9,2.3,0.0,0.8,0.405,0.909,1.8,2.0,8,23.0,2.5,2.3,4.9,1.8
Tre Johnson,12.3,3.6,1.6,0.1,0.3,0.361,0.778,2.4,2.0,7,22.8,1.0,2.0,6.5,2.7
Cam Spencer,12.2,2.7,5.7,0.7,0.5,0.5,1.0,1.8,0.7,6,23.3,2.3,2.2,14.0,1.7
Payton Pritchard,12.2,4.0,4.5,0.5,0.7,0.382,1.0,1.8,1.5,6,33.2,0.7,3.0,14.5,1.5
Naz Reid,12.1,4.7,1.7,1.1,0.4,0.493,0.765,0.9,1.4,7,24.3,1.9,3.9,7.5,2.4
Devin Vassell,12.1,3.3,3.0,0.3,0.7,0.379,0.778,2.0,0.6,7,32.6,3.0,1.6,12.0,1.3
Daeqwon Plowden,12.0,3.4,1.1,0.1,1.4,0.414,0.714,2.3,0.9,7,29.1,1.4,1.9,3.5,3.3
Jeremiah Fears,12.0,3.3,3.5,0.2,0.5,0.415,0.727,1.7,1.3,6,20.2,1.3,2.8,12.2,2.3
Jakob Poeltl,12.0,9.2,2.8,1.4,0.6,0.737,0.571,0.0,0.8,5,29.3,0.8,5.6,8.5,3.4
Justin Champagnie,12.0,5.5,1.5,0.3,1.0,0.546,0.909,0.5,0.8,4,21.4,2.5,4.0,3.0,2.0
Simone Fontecchio,12.0,3.3,1.0,0.0,0.3,0.48,0.857,2.0,0.7,3,20.3,2.0,2.0,2.0,2.7
Dylan Harper,11.8,3.2,4.3,0.3,0.3,0.6,0.333,1.7,1.3,6,22.6,0.2,3.3,25.3,2.5
Josh Minott,11.8,2.0,0.3,1.0,0.8,0.448,0.867,2.0,1.5,4,17.4,3.3,1.3,0.5,0.5
Justin Edwards,11.7,3.4,2.9,0.4,2.1,0.557,0.625,1.3,0.9,7,22.8,0.7,3.6,14.0,1.9
Julian Reese,11.7,11.7,2.0,0.7,0.7,0.611,0.929,0.0,2.3,3,29.3,4.3,3.7,2.8,4.0
Nique Clifford,11.6,5.1,4.1,0.3,1.3,0.421,0.5,1.7,1.3,7,32.8,0.7,2.9,27.0,3.1
Isaiah Stewart,11.5,5.3,1.5,1.0,0.2,0.558,0.762,0.8,1.0,6,22.5,2.7,3.2,5.5,1.8
Harrison Barnes,11.5,4.3,1.5,0.0,0.3,0.556,0.889,2.0,1.0,4,22.1,2.0,1.8,6.0,1.5
Keshad Johnson,11.5,3.0,0.5,1.0,2.5,0.5,0.25,2.0,1.0,2,19.5,0.5,2.5,0.5,1.5
Keldon Johnson,11.3,4.4,0.9,0.1,0.0,0.474,0.8,1.5,0.3,8,22.1,0.5,3.1,0.0,2.1
Derrick Jones Jr.,11.3,4.0,1.4,1.4,1.6,0.493,0.714,1.3,0.8,8,30.2,1.3,3.1,3.5,1.9
Jaylin Williams,11.3,7.0,2.3,0.3,0.2,0.449,0.75,3.0,1.8,6,25.1,1.0,0.7,7.7,2.7
Noah Clowney,11.2,4.3,2.0,0.5,0.8,0.375,0.933,1.8,1.5,6,23.5,2.3,1.7,9.0,1.7
Tristan Vukcevic,11.2,4.4,1.0,0.6,0.2,0.488,0.75,2.0,1.8,5,16.4,1.2,2.0,3.0,1.6
Rui Hachimura,11.1,3.0,1.1,0.1,0.4,0.552,1.0,1.9,0.4,7,28.9,0.1,2.7,5.0,2.1
Julian Champagnie,11.0,5.8,1.4,0.4,0.8,0.476,0.692,2.4,1.1,8,28.0,1.1,1.4,2.3,1.4
Rayan Rupert,11.0,5.2,0.8,0.4,1.4,0.422,0.8,1.8,1.2,5,31.0,1.6,2.0,3.0,3.4
Scotty Pippen Jr.,11.0,3.0,3.0,0.0,1.0,0.571,0.667,1.0,2.0,1,23.4,2.0,3.0,1.5,4.0
Ethan Thompson,11.0,2.0,2.0,0.0,1.0,0.364,1.0,2.0,2.0,1,38.2,1.0,2.0,1.0,5.0
DaRon Holmes II,11.0,1.0,0.0,0.0,0.0,0.75,1.0,2.0,2.0,1,7.7,3.0,1.0,0.0,0.0
Cameron Payne,10.9,2.4,3.4,0.5,1.4,0.4,0.846,2.0,0.8,8,20.3,1.4,1.8,4.0,1.3
Jordan Miller,10.9,2.6,3.3,0.1,0.8,0.523,0.739,0.3,0.9,8,26.0,2.1,4.0,13.0,0.8
Bub Carrington,10.9,2.9,4.0,0.3,0.3,0.612,0.75,1.4,1.7,7,24.8,0.9,2.9,17.9,2.6
Brandon Williams,10.9,3.1,3.4,0.9,0.6,0.467,0.879,0.7,1.3,7,19.2,4.1,2.3,8.8,1.1
Duncan Robinson,10.8,2.9,2.8,0.1,0.3,0.556,0.75,2.1,0.3,8,23.6,1.1,1.6,7.0,2.3
Keon Ellis,10.8,3.3,1.0,0.8,0.7,0.539,0.727,2.5,0.5,6,27.1,1.3,1.0,2.5,2.2
Marcus Smart,10.8,2.0,2.2,0.2,1.7,0.411,0.8,2.5,1.2,6,32.1,0.7,1.3,6.0,3.0
Jabari Walker,10.8,4.0,1.0,0.2,0.6,0.613,0.8,1.6,1.2,5,17.1,1.6,2.2,3.5,1.6
Jalen Smith,10.8,6.0,0.8,0.5,0.0,0.35,0.769,1.3,0.5,4,27.7,2.5,2.3,3.0,2.8
Jordan Clarkson,10.7,1.7,1.1,0.1,0.3,0.566,0.889,1.0,0.7,7,15.4,1.1,3.3,6.0,1.7
Leonard Miller,10.7,7.3,1.2,0.5,0.7,0.482,0.889,0.7,0.3,6,26.3,1.3,3.7,1.0,1.8
Herbert Jones,10.7,3.5,2.3,0.5,1.7,0.407,0.75,1.7,1.5,6,28.6,1.0,2.3,11.5,2.8
Kel'el Ware,10.7,8.7,0.7,2.8,1.5,0.509,0.6,0.7,0.8,6,28.6,1.0,3.8,2.5,1.7
Quinten Post,10.5,4.0,2.3,0.8,0.3,0.457,0.833,1.3,2.5,4,23.1,1.3,2.8,4.6,2.0
John Collins,10.5,6.0,2.0,0.5,1.5,0.462,0.727,0.5,1.0,2,22.8,4.0,2.5,4.0,2.5
Toumani Camara,10.4,5.7,2.9,0.6,1.6,0.359,0.556,1.7,1.6,7,32.7,0.7,2.3,12.3,2.4
Robert Williams III,10.4,9.6,0.4,2.2,0.8,0.676,0.333,0.0,1.0,5,21.6,0.4,5.0,0.0,1.8
Isaiah Joe,10.3,3.2,1.0,0.3,0.2,0.438,0.909,1.7,0.3,6,24.5,1.7,1.8,1.0,1.7
Rudy Gobert,10.1,10.3,2.3,1.3,0.7,0.743,0.613,0.0,1.6,7,31.8,2.7,3.7,6.0,2.0
Brook Lopez,10.0,3.1,1.5,1.4,0.8,0.542,0.714,1.4,0.4,8,24.8,0.6,2.6,1.0,1.6
Ivica Zubac,10.0,7.0,1.5,0.8,0.5,0.514,0.8,0.0,0.8,4,23.7,1.0,4.5,2.5,1.8
Myles Turner,9.9,4.1,1.3,0.9,0.6,0.434,0.75,2.0,1.0,7,24.3,1.3,1.3,7.0,2.0
Bones Hyland,9.9,0.6,2.7,0.4,0.3,0.471,0.875,2.0,1.0,7,17.2,1.0,1.4,7.7,1.4
Jaden Hardy,9.8,1.7,1.2,0.3,0.5,0.429,0.778,1.7,1.5,6,19.0,1.2,1.8,5.0,2.3
Deandre Ayton,9.8,8.7,0.8,0.7,0.3,0.659,0.357,0.0,0.5,6,25.0,0.8,4.5,1.0,2.2
Nick Richards,9.8,8.3,1.0,1.3,0.2,0.525,0.593,0.2,1.5,6,24.4,2.7,3.3,3.3,2.7
Draymond Green,9.8,5.2,7.0,0.4,1.2,0.5,0.667,2.2,2.0,5,31.6,0.4,1.4,11.6,2.4
Walter Clayton Jr.,9.8,1.5,6.3,0.3,0.8,0.371,0.909,0.8,3.5,4,25.3,2.5,2.5,7.5,1.8
Rob Dillingham,9.7,3.3,3.3,0.0,0.8,0.387,0.5,1.5,1.8,6,22.7,0.2,2.5,14.1,3.7
Ousmane Dieng,9.7,5.2,3.2,0.2,0.5,0.451,0.0,2.0,1.7,6,27.5,0.0,1.8,14.0,2.5
Ronald Holland II,9.6,3.6,0.5,0.1,0.8,0.5,0.913,0.3,1.3,8,18.7,2.6,3.1,2.5,2.8
Blake Hinson,9.6,2.2,1.0,0.0,0.2,0.444,0.6,2.6,0.2,5,21.4,0.6,0.6,1.0,1.2
Sandro Mamukelashvili,9.5,5.2,1.7,0.5,1.0,0.512,0.615,1.2,1.0,6,20.6,1.3,2.3,7.0,2.2
LJ Cryer,9.5,2.3,0.8,0.0,0.2,0.447,0.909,2.2,0.5,6,17.9,1.7,0.7,3.0,1.8
Ochai Agbaji,9.5,2.8,0.5,0.8,1.3,0.654,0.5,0.8,1.3,4,19.4,0.3,3.5,1.5,1.5
Danny Wolf,9.4,6.6,2.6,0.9,0.1,0.375,0.846,1.1,2.0,7,23.8,3.1,1.4,12.4,3.0
Davion Mitchell,9.4,3.3,4.9,0.0,0.7,0.529,1.0,1.1,0.9,7,25.2,0.6,2.7,17.7,2.4
Royce O'Neale,9.3,4.4,2.3,0.6,1.1,0.417,0.0,3.0,0.8,8,27.2,0.0,0.1,2.7,2.3
Sam Merrill,9.3,4.5,3.3,0.0,0.5,0.4,0.75,1.5,0.0,4,27.0,0.8,2.0,0.0,3.0
Al Horford,9.3,5.3,3.5,1.8,0.3,0.357,0.0,1.8,1.0,4,25.1,0.0,2.0,14.0,0.8
MarJon Beauchamp,9.2,2.6,0.8,0.4,0.8,0.516,0.857,1.6,0.8,5,16.7,1.2,1.6,2.0,1.4
Guerschon Yabusele,9.2,3.6,1.2,0.2,0.6,0.412,0.75,1.8,1.0,5,24.0,1.8,1.0,6.0,1.8
Collin Gillespie,9.0,4.9,4.9,0.1,1.0,0.333,1.0,2.3,1.0,8,29.8,0.8,0.8,24.0,1.5
Max Christie,9.0,2.4,1.5,0.3,0.8,0.397,1.0,2.4,1.5,8,27.4,0.4,0.8,5.5,0.9
Jett Howard,9.0,3.0,1.0,0.3,0.3,0.404,1.0,1.7,0.7,6,21.8,1.0,1.5,4.0,1.7
Landry Shamet,8.9,2.3,1.1,0.0,0.5,0.393,0.786,1.5,1.1,8,26.2,1.4,1.5,1.7,2.4
Dominick Barlow,8.8,4.5,1.5,0.9,0.8,0.527,0.588,0.3,1.6,8,26.5,1.3,3.4,7.5,2.1
Kasparas Jakucionis,8.7,3.4,2.3,0.3,0.9,0.457,0.778,1.7,1.4,7,21.9,1.0,1.3,9.8,1.9
Jaden McDaniels,8.7,2.7,2.3,0.3,1.3,0.444,0.818,0.6,2.1,7,27.2,1.3,2.9,5.0,4.0
Zaccharie Risacher,8.7,4.8,0.8,0.5,1.0,0.462,0.75,1.7,1.0,6,20.2,1.0,1.3,2.7,1.2
Neemias Queta,8.6,7.9,1.6,1.1,0.6,0.571,0.706,0.0,1.0,7,26.9,1.7,3.4,7.5,2.6
Pat Spencer,8.6,2.4,3.3,0.0,1.0,0.418,0.857,1.1,1.1,7,21.1,0.9,2.1,17.0,0.9
T.J. McConnell,8.5,2.7,6.5,0.0,0.5,0.442,1.0,0.0,0.8,6,19.8,0.8,3.8,15.5,0.8
Jared McCain,8.5,1.2,0.5,0.0,0.3,0.415,1.0,2.2,0.5,6,15.1,0.7,0.7,0.5,1.0
Trendon Watford,8.4,3.8,2.8,1.1,0.6,0.519,0.786,0.0,1.5,8,20.4,1.4,3.5,10.0,3.3
Tyson Etienne,8.4,1.8,1.8,0.0,0.4,0.367,0.9,2.2,1.2,5,17.1,1.8,0.0,8.5,2.6
Baylor Scheierman,8.3,6.1,2.7,0.0,0.4,0.5,1.0,2.0,1.0,7,28.2,0.3,1.0,10.2,0.7
Obi Toppin,8.3,3.6,1.4,0.0,0.0,0.475,0.75,1.6,0.7,7,13.7,1.3,1.1,6.5,1.4
Nic Claxton,8.2,6.8,2.8,1.2,0.3,0.432,0.579,0.0,1.5,6,23.2,1.8,3.2,8.8,1.2
Thomas Bryant,8.2,3.0,0.2,0.7,0.5,0.472,0.778,1.3,0.3,6,14.9,1.2,1.5,0.0,1.2
Isaiah Jackson,8.1,5.8,1.5,1.6,0.8,0.684,0.619,0.0,0.9,8,18.5,1.6,3.3,8.0,2.5
Jevon Carter,8.1,2.1,2.5,0.3,0.5,0.407,0.5,1.8,1.1,8,19.7,0.4,1.3,11.0,1.6
Ben Saraf,8.1,1.4,4.1,0.1,1.1,0.476,0.895,0.0,2.4,7,21.5,2.4,2.9,15.1,2.3
Sam Hauser,8.1,5.3,1.3,0.3,0.7,0.351,0.0,2.4,0.3,7,26.2,0.0,0.4,2.0,1.7
Mikal Bridges,8.0,4.4,2.8,1.1,0.6,0.329,0.667,1.0,0.8,8,28.6,0.5,2.3,12.5,1.9
Oso Ighodaro,8.0,6.0,3.5,0.8,0.9,0.667,0.444,0.0,1.0,8,28.4,1.0,3.5,8.0,3.9
Bruce Brown Jr.,8.0,2.9,1.6,0.3,0.4,0.487,0.769,1.1,0.7,7,20.6,1.4,1.6,6.5,1.4
Karlo Matkovic,8.0,5.2,0.8,0.8,0.7,0.692,1.0,1.2,0.5,6,16.4,0.8,1.8,2.0,1.8
Drake Powell,8.0,1.5,1.3,0.8,0.3,0.344,1.0,1.5,1.3,4,25.1,1.0,1.3,3.5,2.0
Andrew Wiggins,8.0,4.0,1.0,0.0,2.0,0.4,0.0,0.0,0.0,1,22.9,0.0,4.0,0.0,0.0
