RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,USGPCT,PCTFGM,PCTFGA,PCT3PM,PCT3PA,PCTFTM,PCTFTA,PCTOREB,PCTDREB,PCTREB,PCTAST,PCTTOV,PCTSTL,PCTBLK,PCTBLKA,PCTPF,PCTPFD,PCTPTS
279,JOSH HART,NYK,30,8,5,3,190.0,15.0,15.1,15.4,13.0,14.7,7.1,8.4,26.2,34.5,31.6,24.5,18.5,15.6,0.0,13.0,12.8,14.5,13.7
280,JAKE LARAVIA,LAL,24,11,8,3,322.0,15.0,16.5,15.8,20.3,18.0,14.7,18.4,25.0,18.6,20.2,16.9,12.5,25.0,9.1,10.3,21.4,16.9,16.6
281,TRENDON WATFORD,PHI,25,7,3,4,158.0,15.0,17.6,14.3,9.5,7.5,18.6,18.3,24.5,23.1,23.5,31.6,21.2,12.5,11.1,16.7,26.8,26.0,16.9
282,BRYCE MCGOWENS,NOP,23,4,0,4,18.0,14.9,9.1,12.5,0.0,9.1,33.3,21.1,0.0,0.0,0.0,60.0,16.7,20.0,0.0,50.0,33.3,27.3,17.1
282,JAMISON BATTLE,TOR,24,8,5,3,55.0,14.9,21.7,17.5,52.6,35.9,0.0,0.0,7.1,13.6,12.1,2.4,16.7,15.4,25.0,0.0,20.0,3.1,21.3
284,JAYLON TYSON,CLE,22,11,7,4,284.0,14.9,17.5,16.2,22.6,18.1,10.0,9.6,16.9,16.7,16.7,12.1,12.8,22.2,23.1,18.2,30.7,9.7,17.2
285,MILES MCBRIDE,NYK,25,7,6,1,162.0,14.9,13.7,16.7,23.6,22.9,6.5,6.4,14.0,11.3,12.3,24.1,11.1,25.0,6.3,14.3,16.2,6.3,13.7
286,AL HORFORD,GSW,39,7,4,3,150.0,14.8,13.3,15.9,20.0,22.7,0.0,0.0,25.0,25.0,25.0,12.9,22.9,12.1,35.3,15.4,21.3,5.6,11.6
287,ISAAC OKORO,CHI,24,10,6,4,238.0,14.8,13.1,14.9,15.9,19.4,14.3,12.4,20.8,8.8,11.4,12.1,18.3,15.2,22.7,22.6,31.2,17.4,13.6
288,PAT CONNAUGHTON,CHA,32,6,2,4,48.0,14.8,20.0,16.3,27.3,20.6,10.0,13.0,16.7,25.6,23.5,8.7,15.0,25.0,14.3,50.0,14.3,22.7,18.8
289,MIKAL BRIDGES,NYK,29,9,6,3,308.0,14.8,19.0,16.5,21.2,17.6,11.7,11.9,11.0,14.1,13.2,25.4,9.6,21.2,28.1,3.3,17.0,13.0,18.2
290,JAHMYL TELFORT,LAC,24,3,0,3,16.0,14.7,0.0,9.1,0.0,15.4,11.1,28.6,0.0,13.3,11.8,11.1,33.3,0.0,0.0,0.0,40.0,22.2,2.6
290,SAM HAUSER,BOS,27,11,5,6,250.0,14.7,12.1,16.2,30.2,28.1,4.3,4.4,13.6,17.8,16.6,13.2,12.5,14.3,14.3,0.0,9.3,4.1,13.8
292,JOCK LANDALE,MEM,30,11,4,7,272.0,14.7,20.4,15.0,19.2,12.8,13.2,16.0,41.9,17.7,24.1,11.8,14.6,16.7,26.3,24.1,28.6,18.0,18.9
