id,full_name,first_name,last_name
-9092979031935681955,Franz Wagner,Franz,Wagner
799148930641469042,Jamal Cain (TW),Jamal,(TW)
-7704695893817010129,Moritz Wagner,Moritz,Wagner
5776603404016350353,Orlando Robinson (TW),Orlando,(TW)
5076689428001253227,Jevon Carter,Jevon,Carter
6427028968377920371,Colin Castleton (TW),Colin,(TW)
-8466647667513311801,Tyrese Maxey,Tyrese,Maxey
7362719382940054271,VJ Edgecombe,VJ,Edgecombe
-1320387822932847134,Quentin Grimes,Quentin,Grimes
-2040766301647350882,Jabari Walker (TW),Jabari,(TW)
298227389777625285,Adem Bona,Adem,Bona
-1822939405196999756,Dominick Barlow,Dominick,Barlow
-1454260633248520872,Justin Edwards,Justin,Edwards
-7443257853241298040,Andre Drummond,Andre,Drummond
7891042994502495213,Joel Embiid,Joel,Embiid
6597445247037149974,Kelly Oubre Jr.,Kelly,Jr.
-5631301050103063273,Trendon Watford,Trendon,Watford
-5317616395548347181,Paul George,Paul,George
6013434870259190417,Johni Broome,Johni,Broome
8847142225816544527,Kyle Lowry,Kyle,Lowry
7658770369476109258,MarJon Beauchamp (TW),MarJon,(TW)
-8685748895944931099,Patrick Baldwin Jr.,Patrick,Jr.
7946362020882531522,Charles Bassey,Charles,Bassey
862046346889498132,Royce O'Neale,Royce,O'Neale
-3936963663579581089,Oso Ighodaro,Oso,Ighodaro
-3065356690853082392,Collin Gillespie,Collin,Gillespie
4165669349134015702,Jordan Goodwin,Jordan,Goodwin
-1024938316799956367,Mark Williams,Mark,Williams
-4399436760682493688,Dillon Brooks,Dillon,Brooks
-1088165652064182299,Ryan Dunn,Ryan,Dunn
-562904501493441384,Devin Booker,Devin,Booker
1977046941051737292,Grayson Allen,Grayson,Allen
352617427163611958,Rasheer Fleming,Rasheer,Fleming
8164503444152971132,Isaiah Livers (TW),Isaiah,(TW)
-3023865420722908471,Jamaree Bouyea (TW),Jamaree,(TW)
2160409182212476399,Khaman Maluach,Khaman,Maluach
-1994669929011556514,Jalen Green,Jalen,Green
7994539777920962765,Koby Brea (TW),Koby,(TW)
4359875602050306487,Amir Coffey,Amir,Coffey
-2219048843669536905,Cole Anthony,Cole,Anthony
-4682934887273968927,Toumani Camara,Toumani,Camara
3885488116782539352,Donovan Clingan,Donovan,Clingan
-6129836895365517733,Sidy Cissoko (TW),Sidy,(TW)
-787822543077024900,Shaedon Sharpe,Shaedon,Sharpe
-8476827003446911101,Rayan Rupert,Rayan,Rupert
2257936994015261595,Deni Avdija,Deni,Avdija
4574560707818133657,Caleb Love (TW),Caleb,(TW)
-5636821926483069636,Jerami Grant,Jerami,Grant
-8387346546612997912,Robert Williams,Robert,Williams
-512962330296442669,Kris Murray,Kris,Murray
62250616931980749,Yang Hansen,Yang,Hansen
-7159772461824507793,Jrue Holiday,Jrue,Holiday
-5597973379688237026,Javonte Cooke (TW),Javonte,(TW)
6292627864070435687,Blake Wesley,Blake,Wesley
-8932153523628241989,Vit Krejci,Vit,Krejci
8103944516090759089,Matisse Thybulle,Matisse,Thybulle
714140556134235125,Scoot Henderson,Scoot,Henderson
7025377851828400693,Damian Lillard,Damian,Lillard
-7598863361490042410,DeMar DeRozan,DeMar,DeRozan
6830677550358574364,Russell Westbrook,Russell,Westbrook
301849389361074949,Nique Clifford,Nique,Clifford
1271707078617622299,Maxime Raynaud,Maxime,Raynaud
-2127882917654114715,Precious Achiuwa,Precious,Achiuwa
2485422831064278890,Malik Monk,Malik,Monk
5702253034496766998,Zach LaVine,Zach,LaVine
-8572658559210081203,Drew Eubanks,Drew,Eubanks
-1533965294838639557,Dylan Cardwell (TW),Dylan,(TW)
7307363134525327138,Domantas Sabonis,Domantas,Sabonis
9199908740483478694,Keegan Murray,Keegan,Murray
-9090306953990469806,Devin Carter,Devin,Carter
-1682738094366313921,Doug McDermott,Doug,McDermott
6671553459786410162,Daeqwon Plowden (TW),Daeqwon,(TW)
9205730988468345351,De'Andre Hunter,De'Andre,Hunter
-2665248500390591465,Isaiah Stevens (TW),Isaiah,(TW)
-8701077992507046962,Keldon Johnson,Keldon,Johnson
7388755580285672284,Julian Champagnie,Julian,Champagnie
-5952550252807936718,Harrison Barnes,Harrison,Barnes
5286614881193363463,De'Aaron Fox,De'Aaron,Fox
-3937580747065335105,Stephon Castle,Stephon,Castle
-698477944204090227,Luke Kornet,Luke,Kornet
-1962917273872612673,Dylan Harper,Dylan,Harper
-5096642283490560147,Carter Bryant,Carter,Bryant
-5805224291929728072,Devin Vassell,Devin,Vassell
-3042726317805848210,Victor Wembanyama,Victor,Wembanyama
2532198324880600872,Kelly Olynyk,Kelly,Olynyk
5869154222308146380,Jeremy Sochan,Jeremy,Sochan
6802446424876161725,Lindy Waters III,Lindy,III
-8850442976587291818,Jordan McLaughlin,Jordan,McLaughlin
-2063009027936152575,Bismack Biyombo,Bismack,Biyombo
-845132261971285426,David Jones García (TW),David,(TW)
-8824866365812688527,Harrison Ingram (TW),Harrison,(TW)
-3680847021090925862,Stanley Umude (TW),Stanley,(TW)
861956884102915938,Jamal Shead,Jamal,Shead
-5402495184458465143,Gradey Dick,Gradey,Dick
-4483376408169594423,Scottie Barnes,Scottie,Barnes
8506167522204400133,Brandon Ingram,Brandon,Ingram
-9024819093174936493,Sandro Mamukelashvili,Sandro,Mamukelashvili
-7079016845715885740,Immanuel Quickley,Immanuel,Quickley
6418391986185778099,Ja'Kobe Walter,Ja'Kobe,Walter
-6621637222661186747,Collin Murray-Boyles,Collin,Murray-Boyles
-3294487496028284747,Jamison Battle,Jamison,Battle
-847678433369397497,RJ Barrett,RJ,Barrett
-2319803353480121162,Jonathan Mogbo,Jonathan,Mogbo
1589756529091733656,Jakob Poeltl,Jakob,Poeltl
4486401231617960948,A.J. Lawson (TW),A.J.,(TW)
-2374954550444543128,Garrett Temple,Garrett,Temple
-7930316748080180808,Alijah Martin (TW),Alijah,(TW)
-7231190178059732192,Chucky Hepburn (TW),Chucky,(TW)
240097223785162608,Trayce Jackson-Davis,Trayce,Jackson-Davis
-5644723773417380685,Chris Paul,Chris,Paul
5727472718907165003,Kyle Filipowski,Kyle,Filipowski
-8139523852934811140,Brice Sensabaugh,Brice,Sensabaugh
953326798681688204,Keyonte George,Keyonte,George
4243635737619353719,Ace Bailey,Ace,Bailey
4631196662974572772,Isaiah Collier,Isaiah,Collier
7216183005470040973,Svi Mykhailiuk,Svi,Mykhailiuk
4091866509533696591,Lauri Markkanen,Lauri,Markkanen
9020126762698926095,Jusuf Nurkić,Jusuf,Nurkić
-7097347000326764037,Cody Williams,Cody,Williams
-5778998317690024183,Kevin Love,Kevin,Love
-6794540729342022369,Elijah Harkless (TW),Elijah,(TW)
-3621024358852138679,Walker Kessler,Walker,Kessler
1928962879092375985,Jaren Jackson Jr.,Jaren,Jr.
-4985383403661064,Oscar Tshiebwe (TW),Oscar,(TW)
2967197644124067693,Vince Williams Jr.,Vince,Jr.
6360837845559991308,John Konchar,John,Konchar
-508364349063766880,John Tonje (TW),John,(TW)
-7606674296153857814,Blake Hinson (TW),Blake,(TW)
-6556010041765724518,Bub Carrington,Bub,Carrington
-8075656253096949822,Justin Champagnie,Justin,Champagnie
1329730282830254597,Will Riley,Will,Riley
7781981210946714577,Kyshawn George,Kyshawn,George
2887689350267475571,Alex Sarr,Alex,Sarr
1544379627395943952,Tre Johnson,Tre,Johnson
3164532056209456942,Tristan Vukcevic (TW),Tristan,(TW)
2253169327657335882,Bilal Coulibaly,Bilal,Coulibaly
443549009621267055,Anthony Gill,Anthony,Gill
5304320569686546258,Jamir Watkins (TW),Jamir,(TW)
-5950959218831870306,Cam Whitmore,Cam,Whitmore
